black	#000000
LightSteelBlue1	#cae1ff
RoyalBlue4	#27408b
RoyalBlue3	#3a5fcd
RoyalBlue2	#436eee
RoyalBlue1	#4876ff
SlateBlue4	#473c8b
SlateBlue3	#6959cd
SlateBlue2	#7a67ee
SlateBlue1	#836fff
MediumPurple4	#5d478b
MediumPurple3	#8968cd
MediumPurple2	#9f79ee
MediumPurple1	#ab82ff
purple4	#551a8b
purple3	#7d26cd
purple2	#912cee
purple1	#9b30ff
DarkOrchid4	#68228b
DarkOrchid3	#9a32cd
DarkOrchid2	#b23aee
DarkOrchid1	#bf3eff
MediumOrchid4	#7a378b
MediumOrchid3	#b452cd
MediumOrchid2	#d15fee
MediumOrchid1	#e066ff
thistle4	#8b7b8b
thistle3	#cdb5cd
thistle2	#eed2ee
thistle1	#ffe1ff
plum4	#8b668b
plum3	#cd96cd
plum2	#eeaeee
plum1	#ffbbff
orchid4	#8b4789
orchid3	#cd69c9
orchid2	#ee7ae9
orchid1	#ff83fa
maroon4	#8b1c62
maroon3	#cd2990
maroon2	#ee30a7
maroon1	#ff34b3
DeepPink4	#8b0a50
DeepPink3	#cd1076
DeepPink2	#ee1289
DeepPink1	#ff1493
HotPink4	#8b3a62
HotPink3	#cd6090
HotPink2	#ee6aa7
HotPink1	#ff6eb4
VioletRed4	#8b2252
VioletRed3	#cd3278
VioletRed2	#ee3a8c
VioletRed1	#ff3e96
LavenderBlush4	#8b8386
LavenderBlush3	#cdc1c5
LavenderBlush2	#eee0e5
LavenderBlush1	#fff0f5
PaleVioletRed4	#8b475d
PaleVioletRed3	#cd6889
PaleVioletRed2	#ee799f
PaleVioletRed1	#ff82ab
pink4	#8b636c
pink3	#cd919e
pink2	#eea9b8
pink1	#ffb5c5
LightPink4	#8b5f65
LightPink3	#cd8c95
LightPink2	#eea2ad
LightPink1	#ffaeb9
gray0,grey0	#000000
gray1,grey1	#030303
gray2,grey2	#050505
gray3,grey3	#080808
gray4,grey4	#0a0a0a
gray5,grey5	#0d0d0d
gray6,grey6	#0f0f0f
gray7,grey7	#121212
gray8,grey8	#141414
gray9,grey9	#171717
gray10,grey10	#1a1a1a
gray11,grey11	#1c1c1c
gray12,grey12	#1f1f1f
gray13,grey13	#212121
gray14,grey14	#242424
gray15,grey15	#262626
gray16,grey16	#292929
gray17,grey17	#2b2b2b
gray18,grey18	#2e2e2e
gray19,grey19	#303030
gray20,grey20	#333333
gray21,grey21	#363636
gray22,grey22	#383838
gray23,grey23	#3b3b3b
gray24,grey24	#3d3d3d
gray25,grey25	#404040
gray26,grey26	#424242
gray27,grey27	#454545
gray28,grey28	#474747
gray29,grey29	#4a4a4a
gray30,grey30	#4d4d4d
gray31,grey31	#4f4f4f
gray32,grey32	#525252
gray33,grey33	#545454
gray34,grey34	#575757
gray35,grey35	#595959
gray36,grey36	#5c5c5c
gray37,grey37	#5e5e5e
gray38,grey38	#616161
gray39,grey39	#636363
gray40,grey40	#666666
gray41,grey41	#696969
gray42,grey42	#6b6b6b
gray43,grey43	#6e6e6e
gray44,grey44	#707070
gray45,grey45	#737373
gray46,grey46	#757575
gray47,grey47	#787878
gray48,grey48	#7a7a7a
gray49,grey49	#7d7d7d
gray50,grey50	#7f7f7f
gray51,grey51	#828282
gray52,grey52	#858585
gray53,grey53	#878787
gray54,grey54	#8a8a8a
gray55,grey55	#8c8c8c
gray56,grey56	#8f8f8f
gray57,grey57	#919191
gray58,grey58	#949494
gray59,grey59	#969696
gray60,grey60	#999999
gray61,grey61	#9c9c9c
gray62,grey62	#9e9e9e
gray63,grey63	#a1a1a1
gray64,grey64	#a3a3a3
gray65,grey65	#a6a6a6
gray66,grey66	#a8a8a8
gray67,grey67	#ababab
gray68,grey68	#adadad
gray69,grey69	#b0b0b0
gray70,grey70	#b3b3b3
gray71,grey71	#b5b5b5
gray72,grey72	#b8b8b8
gray73,grey73	#bababa
gray74,grey74	#bdbdbd
gray75,grey75	#bfbfbf
gray76,grey76	#c2c2c2
gray77,grey77	#c4c4c4
gray78,grey78	#c7c7c7
gray79,grey79	#c9c9c9
gray80,grey80	#cccccc
gray81,grey81	#cfcfcf
gray82,grey82	#d1d1d1
gray83,grey83	#d4d4d4
gray84,grey84	#d6d6d6
gray85,grey85	#d9d9d9
gray86,grey86	#dbdbdb
gray87,grey87	#dedede
gray88,grey88	#e0e0e0
gray89,grey89	#e3e3e3
gray90,grey90	#e5e5e5
gray91,grey91	#e8e8e8
gray92,grey92	#ebebeb
gray93,grey93	#ededed
gray94,grey94	#f0f0f0
gray95,grey95	#f2f2f2
gray96,grey96	#f5f5f5
gray97,grey97	#f7f7f7
gray98,grey98	#fafafa
gray99,grey99	#fcfcfc
gray100,grey100	#ffffff
